,id,population_mean,region,district,year
34714,878829703,6,43,504246,2020
45658,878902489,-7,43,504246,2020
48060,878805572,749,43,504246,2020
5266,831438362,2,43,504301,2019
6900,831399780,14,43,504301,2019
19124,831417256,8,43,504301,2019
20665,831392920,-2,43,504301,2019
30553,831459483,4,43,504301,2019
37577,831438361,0,43,504301,2019
39735,831391631,6,43,504301,2019
47867,831405359,400,43,504301,2019
6301,878902492,3,43,504301,2020
7766,878853980,10,43,504301,2020
15174,878805575,10,43,504301,2020
22251,878802305,4,43,504301,2020
28181,878829711,4,43,504301,2020
34826,878805574,7,43,504301,2020
43588,878785439,0,43,504301,2020
48061,878805578,405,43,504301,2020
5188,831487163,12,43,504441,2019
9540,831508656,18,43,504441,2019
13384,831395306,19,43,504441,2019
24825,831487164,0,43,504441,2019
31366,831487167,-1,43,504441,2019
35351,831508655,12,43,504441,2019
44476,831487166,-1,43,504441,2019
46698,831387975,1510,43,504441,2019
2085,878805581,17,43,504441,2020
9374,878797962,26,43,504441,2020
15789,878790594,38,43,504441,2020
20865,878853986,-4,43,504441,2020
28182,878829714,-16,43,504441,2020
34827,878805580,13,43,504441,2020
43389,878797123,-12,43,504441,2020
47942,878829716,1512,43,504441,2020
4238,831423568,24,43,504505,2019
7073,831396511,90,43,504505,2019
18260,831487170,33,43,504505,2019
22702,831508658,-3,43,504505,2019
31344,831465816,54,43,504505,2019
37469,831465813,21,43,504505,2019
44457,831465815,57,43,504505,2019
46784,831398177,2082,43,504505,2019
2438,878829718,29,43,504505,2020
11017,878786181,69,43,504505,2020
19050,878878276,32,43,504505,2020
22094,878829719,-6,43,504505,2020
29601,878798055,31,43,504505,2020
34828,878805586,23,43,504505,2020
40562,878853991,37,43,504505,2020
47535,878853993,2144,43,504505,2020
568,831387444,16,43,504785,2019
11961,831444854,28,43,504785,2019
17138,831487187,20,43,504785,2019
21312,831387816,-5,43,504785,2019
30293,831487188,3,43,504785,2019
36667,831423584,11,43,504785,2019
41480,831405076,8,43,504785,2019
47459,831397603,1294,43,504785,2019
5941,878878279,16,43,504785,2020
8188,878853994,34,43,504785,2020
19051,878878280,32,43,504785,2020
23480,878799845,2,43,504785,2020
28276,878805590,4,43,504785,2020
38704,878878278,18,43,504785,2020
45659,878902502,2,43,504785,2020
51839,878878282,1300,43,504785,2020
5358,831480716,2,43,504807,2019
6999,831393127,9,43,504807,2019
15494,831394567,10,43,504807,2019
25114,831459577,1,43,504807,2019
31674,831459579,0,43,504807,2019
32964,831367396,3,43,504807,2019
40561,831398568,-1,43,504807,2019
49875,831417346,276,43,504807,2019
6302,878902507,6,43,504807,2020
12463,878878284,15,43,504807,2020
15528,878829725,2,43,504807,2020
21757,878805593,-2,43,504807,2020
32190,878878286,11,43,504807,2020
39076,878902505,4,43,504807,2020
41531,878805594,13,43,504807,2020
51840,878878288,281,43,504807,2020
4645,831459749,4,43,504921,2019
6867,831399118,10,43,504921,2019
18183,831438621,8,43,504921,2019
22580,831502375,-3,43,504921,2019
29168,831502377,-1,43,504921,2019
36936,831459748,1,43,504921,2019
44389,831438622,2,43,504921,2019
45956,831396895,302,43,504921,2019
4643,878800220,4,43,504921,2020
10401,878803831,5,43,504921,2020
16667,878801856,11,43,504921,2020
24205,878798447,-2,43,504921,2020
27833,878854001,-8,43,504921,2020
36781,878733216,2,43,504921,2020
41894,878829732,-6,43,504921,2020
49725,878794302,292,43,504921,2020
5207,831480619,3,43,504955,2019
11763,831438367,10,43,504955,2019
14008,831394708,4,43,504955,2019
25665,831417258,-3,43,504955,2019
29217,831502121,3,43,504955,2019
33609,831367208,0,43,504955,2019
44117,831459485,6,43,504955,2019
50660,831459486,171,43,504955,2019
2439,878829736,1,43,504955,2020
9645,878796135,9,43,504955,2020
19052,878878294,5,43,504955,2020
21296,878854004,2,43,504955,2020
28838,878787863,6,43,504955,2020
36782,878733224,3,43,504955,2020
43553,878801963,4,43,504955,2020
47536,878854006,180,43,504955,2020
4308,831459449,3,43,505005,2019
11556,831480565,9,43,505005,2019
14737,831399735,3,43,505005,2019
19708,831394116,4,43,505005,2019
32081,831417228,10,43,505005,2019
33060,831367138,7,43,505005,2019
44064,831438317,6,43,505005,2019
47615,831394516,427,43,505005,2019
4003,878796687,7,43,505005,2020
9948,878796455,30,43,505005,2020
15175,878805603,12,43,505005,2020
21297,878854009,-1,43,505005,2020
30284,878789509,17,43,505005,2020
39077,878902515,6,43,505005,2020
43609,878792535,18,43,505005,2020
48698,878790765,440,43,505005,2020
1568,831392135,28,43,505013,2019
9597,831508686,30,43,505013,2019
14221,831396203,16,43,505013,2019
24802,831465845,-19,43,505013,2019
29289,831508687,-5,43,505013,2019
33798,831380723,9,43,505013,2019
41046,831389602,14,43,505013,2019
49867,831487197,1312,43,505013,2019
4476,878797931,16,43,505013,2020
12842,878902517,41,43,505013,2020
17175,878787621,26,43,505013,2020
22095,878829741,-5,43,505013,2020
32535,878902519,10,43,505013,2020
34299,878854012,11,43,505013,2020
43003,878783991,15,43,505013,2020
50557,878789586,1316,43,505013,2020
5201,831480608,1,43,505030,2019
10788,831459480,12,43,505030,2019
16110,831502118,1,43,505030,2019
24897,831438359,2,43,505030,2019
26632,831395026,13,43,505030,2019
36577,831459479,3,43,505030,2019
39815,831397097,11,43,505030,2019
50150,831459481,224,43,505030,2019
2440,878829745,5,43,505030,2020
